date,open,high,low,close,volume,average,barCount
2015-10-13,57.33,57.77,57.18,57.69,798383.0,57.634,5041
2015-10-14,57.67,58.15,56.97,57.14,1073557.0,57.472,6226
2015-10-15,56.28,58.21,56.03,58.21,1005657.0,57.672,6533
2015-10-16,58.25,58.63,57.92,58.38,805091.0,58.361,4349
2015-10-19,58.36,58.97,58.3,58.95,963797.0,58.627,5652
2015-10-20,58.78,59.2,58.58,58.6,654456.0,58.812,4545
2015-10-21,58.84,59.07,57.88,57.94,1026688.0,58.284,7454
2015-10-22,58.08,58.71,58.08,58.46,882351.0,58.428,6656
2015-10-23,58.46,58.51,57.45,57.63,652552.0,57.748,4330
2015-10-26,57.75,58.27,57.52,58.2,371365.0,57.963,2772
2015-10-27,58.09,58.29,57.78,57.93,554030.0,58.023,4397
2015-10-28,57.96,58.4,57.04,57.73,586087.0,57.701,3972
2015-10-29,57.37,57.73,56.34,57.08,837219.0,56.758,5953
2015-10-30,57.19,57.89,57.01,57.36,468322.0,57.512,3649
2015-11-02,57.58,57.91,56.96,57.31,560926.0,57.276,4237
2015-11-03,57.23,57.98,56.92,57.73,783335.0,57.546,5365
2015-11-04,57.73,57.99,57.35,57.98,880912.0,57.721,6603
2015-11-05,58.04,58.38,57.28,58.19,786770.0,58.076,5854
2015-11-06,57.93,58.22,55.12,55.44,945811.0,55.764,6640
2015-11-09,55.33,55.89,55.16,55.79,743793.0,55.478,5008
2015-11-10,55.72,56.66,55.59,56.63,473073.0,56.44,3250
2015-11-11,56.66,57.17,56.53,56.89,448784.0,56.956,3114
2015-11-12,56.75,57.54,56.34,56.47,363470.0,56.647,2567
2015-11-13,56.37,56.83,55.94,56.01,333079.0,56.197,2370
2015-11-16,56.0,56.85,55.77,56.83,337001.0,56.477,2506
2015-11-17,56.76,56.92,55.99,56.05,478551.0,56.362,3360
2015-11-18,56.14,57.12,56.0,57.06,425263.0,56.543,2924
2015-11-19,57.08,57.49,57.02,57.27,423722.0,57.278,3186
2015-11-20,57.31,57.9,57.21,57.4,368516.0,57.482,2428
2015-11-23,57.5,57.87,57.34,57.47,507236.0,57.578,3550
2015-11-24,57.16,57.36,56.5,56.88,874508.0,56.859,5948
2015-11-25,56.98,57.18,56.74,57.02,465108.0,56.967,3028
2015-11-27,57.16,58.05,57.13,58.05,428726.0,57.684,3031
2015-11-30,57.97,58.4,57.49,57.76,793784.0,57.864,6110
2015-12-01,57.73,58.44,57.38,57.87,749456.0,57.859,6057
2015-12-02,57.64,57.87,56.96,57.15,512549.0,57.233,3853
2015-12-03,57.23,57.47,56.96,57.41,550799.0,57.243,4514
2015-12-04,57.44,58.05,57.42,58.01,542673.0,57.803,4286
2015-12-07,57.75,58.41,57.59,58.4,579644.0,58.108,4500
2015-12-08,58.03,58.7,57.88,58.45,782797.0,58.365,6491
2015-12-09,57.96,58.76,57.86,57.91,745029.0,58.213,6156
2015-12-10,58.02,58.06,56.63,56.77,893365.0,57.033,6334
2015-12-11,56.74,57.17,56.4,56.72,613248.0,56.827,3929
2015-12-14,56.7,57.13,56.49,56.72,937964.0,56.702,7293
2015-12-15,56.74,57.48,56.74,57.19,890539.0,57.185,6757
2015-12-16,57.53,58.92,57.53,58.79,928739.0,58.638,7223
2015-12-17,58.82,59.78,58.62,59.29,1571585.0,59.438,10918
2015-12-18,59.17,59.95,58.24,59.55,1382818.0,59.241,9474
