earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-08-04,2.35,1,0,0.007262207002420675,0,5
2016-08-04,0.8,0,-1,-0.07839242053789724,0,5
2016-08-04,2.82,1,-1,-0.136193853427896,8,9
2016-08-08,1.01,1,-1,-0.19153644032637257,0,4
2016-08-09,0.79,1,-1,-0.09803921568627451,4,9
2016-08-09,1.16,1,-1,-0.2154129944660791,8,9
2016-08-09,0.19,1,1,0.0443166846328902,8,9
2016-08-17,0.23,0,-1,-0.04953095684803003,2,2
2016-08-17,0.49,1,0,-0.011558219178082174,2,7
2016-08-25,1.03,1,-1,-0.12494226327944566,0,2
2016-10-18,0.69,1,1,0.02706985342664726,0,5
2016-10-18,1.68,1,0,-0.015620909328911827,0,3
2016-10-18,2.17,1,1,0.09260926785343218,0,3
2016-10-19,0.59,1,0,0.00540009818360331,3,3
2016-10-20,0.87,1,1,0.04207711792851104,0,2
2016-10-20,1.37,1,1,0.10789819572230853,0,3
2016-10-25,0.62,0,1,0.15144508670520235,3,3
2016-10-25,1.57,0,1,0.048828409256294635,2,5
2016-10-25,0.23,0,-1,-0.04805856142584346,3,5
2016-10-25,0.56,1,0,0.014544688026981552,2,7
2016-10-25,0.16,0,1,0.0841062126794563,8,0
2016-10-25,0.56,0,1,0.07379612257661047,7,1
2016-10-25,0.88,0,0,0.010943199583116065,0,3
2016-10-26,2.25,0,1,0.12611512818104995,0,6
2016-10-26,5.19,1,-1,-0.04359184892140034,7,1
2016-10-26,1.6,0,1,0.026236207601144326,3,4
2016-10-26,0.27,0,1,0.17356910190786415,2,2
2016-10-27,2.94,0,1,0.1163484006123601,2,1
2016-10-27,0.85,1,-1,-0.09910239970690608,7,6
2016-10-27,2.03,1,1,0.0389239861422457,2,3
2016-10-27,1.39,1,1,0.059858230506694705,1,2
2016-10-27,1.61,1,1,0.060147458284827204,2,6
2016-10-27,0.36,1,1,0.31862886896152737,1,1
2016-10-27,0.53,0,1,0.134106412005457,4,0
2016-10-27,3.02,1,1,0.1539468246314919,1,0
2016-10-28,1.21,1,1,0.08336321262101108,1,2
2016-10-31,1.24,1,1,0.16325310210793842,5,0
2016-10-31,1.79,0,1,0.14216173256507056,3,2
2016-10-31,0.21,1,0,-0.01421239636794313,3,1
2016-11-01,-0.05,0,1,0.2949777495232041,5,0
2016-11-01,0.19,1,1,0.3870856749627251,8,5
2016-11-01,0.61,0,1,0.03395364022200466,0,1
2016-11-01,2.75,0,-1,-0.0783340228933941,4,0
2016-11-01,0.62,1,1,0.3469271623672232,7,2
2016-11-02,1.18,1,1,0.31632047477744796,3,0
