earnings_date,ReportedEPS,EPSBeat,target,pct_change,volatility_bin,momentum_bin
2016-11-17,0.98,1,1,0.0459518599562362,0,6
2016-11-17,2.05,1,1,0.13672406888265914,4,3
2016-11-21,0.96,0,1,0.09650610583446412,7,1
2016-11-22,0.81,1,-1,-0.1251406707179834,7,8
2016-11-22,1.0,1,1,0.03748680042238653,4,5
2016-11-22,0.45,0,0,-0.01617939256315641,6,0
2016-12-01,0.89,0,-1,-0.029908798283261855,9,9
2016-12-01,0.41,0,-1,-0.11021021021021016,7,7
2016-12-07,1.17,0,1,0.08039850244304833,1,4
2016-12-20,0.85,0,-1,-0.05529732328898866,3,5
2016-12-22,0.49,1,0,0.017601206939904343,7,5
2017-01-05,1.96,1,1,0.1400562098501071,7,4
2017-01-20,1.08,1,0,0.00839466421343151,1,5
2017-01-24,1.45,1,1,0.08868852459016388,1,6
2017-01-25,0.64,0,1,0.025523012552301383,2,5
2017-01-27,0.75,0,1,0.1126607779327444,1,5
2017-02-01,0.68,1,0,-0.017214835549335256,1,8
2017-02-02,1.1,0,1,0.08416576006329746,2,7
2017-02-02,1.22,1,1,0.10648036617682491,3,7
2017-02-03,1.17,1,0,-0.0002793036030164895,2,6
2017-02-03,1.25,1,1,0.06931652932622405,1,4
2017-02-06,1.59,1,-1,-0.10471771075019339,9,7
2017-02-06,0.58,1,1,0.05131150679686004,4,1
2017-02-07,0.47,0,0,0.01259275916348105,6,3
2017-02-07,0.44,1,1,0.06167677190048093,5,5
2017-02-07,0.75,0,-1,-0.049470777726645154,7,2
2017-02-09,0.37,0,1,0.06554953178905874,0,5
2017-02-09,0.92,1,-1,-0.06983592763988226,0,4
2017-02-14,1.04,0,0,-0.007002801120448088,1,6
2017-02-14,0.46,0,-1,-0.07371503584772288,3,3
2017-02-15,1.7,1,-1,-0.0740347618415815,7,1
2017-02-15,0.91,1,1,0.02772685609532541,3,7
2017-02-17,0.91,1,0,-0.02476675148430875,2,6
2017-02-17,2.0,0,-1,-0.10400225479143174,1,8
2017-02-21,1.3,1,1,0.09874476987447711,1,5
2017-02-23,0.44,0,-1,-0.044431621465666454,5,8
2017-02-28,1.45,0,-1,-0.034584125886218224,6,1
2017-03-01,0.36,1,0,0.0021114864864865165,7,1
2017-03-01,1.36,1,0,0.006946231026498666,8,2
2017-03-02,0.53,1,-1,-0.24772190347620654,7,0
2017-03-02,1.17,0,1,0.04463761306237533,1,8
2017-03-16,1.49,1,1,0.09097193419051568,7,3
2017-03-21,0.72,1,-1,-0.06735663386494739,3,3
2017-03-23,0.48,1,-1,-0.11638250555967386,1,6
2017-03-28,0.38,1,0,-0.0053039575683395575,0,7
2017-04-06,1.48,1,1,0.13711334155074242,6,7
2017-04-06,0.59,1,1,0.030006978367062086,4,7
2017-04-20,0.98,0,1,0.09085933223864252,0,7
2017-04-24,1.57,1,-1,-0.07965667821111277,0,2
2017-04-25,0.43,0,1,0.06660499537465299,0,6
2017-04-26,1.31,1,0,-0.008660830694728932,0,4
2017-04-26,0.91,0,0,-0.014429857871324708,0,7
2017-04-26,0.96,1,1,0.028737598357851477,0,3
2017-04-28,0.67,1,0,0.0006963788300835259,1,3
